Driver,Team,Race,Position,Points
Max Verstappen,Red Bull,Bahrain,1,25
Charles Leclerc,Ferrari,Bahrain,2,18
Lewis Hamilton,Mercedes,Bahrain,3,15
Lando Norris,McLaren,Bahrain,4,12
George Russell,Mercedes,Bahrain,5,10

Max Verstappen,Red Bull,Saudi Arabia,1,25
Charles Leclerc,Ferrari,2,18
Lewis Hamilton,Mercedes,4,12
Lando Norris,McLaren,3,15
George Russell,Mercedes,5,10

Max Verstappen,Red Bull,Australia,1,25
Charles Leclerc,Ferrari,3,15
Lewis Hamilton,Mercedes,2,18
Lando Norris,McLaren,4,12
George Russell,Mercedes,5,10
